university,year,数据1,数据2,数据3
北京大学,2012,13.05,11.87,13.55
北京化工大学,2012,15.16,10.85,11.6
北京交通大学,2012,5.5,5.11,3.74
北京科技大学,2012,6.18,6.89,3.53
北京林业大学,2012,7.14,4.62,5.31
北京师范大学,2012,4.74,2.33,4.08
北京外国语大学,2012,23.99,21.71,16.88
北京邮电大学,2012,11.44,8.42,8.32
北京语言大学,2012,3.08,2.53,2.09
北京中医药大学,2012,3.54,5.09,2.09
大连理工大学,2012,13.48,12.43,11.19
电子科技大学,2012,4.36,6.39,1.91
东北大学,2012,8.14,8.48,6.37
东北林业大学,2012,3.45,5.16,1.3
东北师范大学,2012,5.47,5.32,3.65
东华大学,2012,22.77,24.01,18.12
东南大学,2012,40.61,31.7,32.87
对外经济贸易大学,2012,8.12,8.84,5.93
复旦大学,2012,8.51,8.48,5.36
合肥工业大学,2012,4.39,4.46,2.49
河海大学,2012,9.6,10.24,7.35
湖南大学,2012,26.51,17.25,22.2
华北电力大学,2012,9.6,5.03,6.97
华北电力大学(保定),2012,11.09,8.34,8.2
华东理工大学,2012,3.18,4.33,1.48
华东师范大学,2012,10.73,9.99,6.91
华南理工大学,2012,13.82,15.56,9.96
华中科技大学,2012,20.29,15.58,18.35
华中农业大学,2012,4.39,5.02,2.75
华中师范大学,2012,55.66,28.94,52.58
吉林大学,2012,9.51,8.42,7.46
江南大学,2012,17.84,16.5,12.42
兰州大学,2012,23.42,24.87,15.8
南京大学,2012,18.01,9.79,14.51
南京农业大学,2012,9.58,11.12,6.5
南开大学,2012,5.16,5.82,2.33
清华大学,2012,39.64,29.02,28.95
厦门大学,2012,6.66,6.85,5.27
山东大学,2012,15.44,11.99,13.82
陕西师范大学,2012,9.87,11.91,7.87
上海财经大学,2012,6.49,4.64,4.81
上海交通大学,2012,7.09,11.56,4.36
上海外国语大学,2012,9.82,6.99,8.33
四川大学,2012,8.35,6.69,6.25
天津大学,2012,10.53,9.69,8.04
同济大学,2012,13.63,13.51,8.69
武汉大学,2012,11.04,7.56,8.5
武汉理工大学,2012,12.71,7.07,10.91
西安电子科技大学,2012,24.42,14.37,22.72
西安交通大学,2012,7.93,7.67,5.52
西北农林科技大学,2012,14.64,15.18,10.96
西南财经大学,2012,23.64,20.25,15.87
西南大学,2012,14.5,11.86,12.62
西南交通大学,2012,21.67,23.86,15.55
长安大学,2012,6.81,9.3,4.3
浙江大学,2012,11.96,16.51,7.29
中国传媒大学,2012,2.85,3.09,1.46
中国地质大学(北京),2012,5.03,6.18,2.41
中国地质大学(武汉),2012,24.53,17.74,18.32
中国海洋大学,2012,14.59,15.2,12.85
中国矿业大学(北京),2012,8.02,10.18,5.63
中国矿业大学(徐州),2012,12.72,13.88,6.52
中国农业大学,2012,1.75,1.49,1.35
中国人民大学,2012,19.91,17.34,15.35
中国石油大学(北京),2012,17.42,10.59,13.89
中国石油大学(华东),2012,5.99,8.88,1.93
中国药科大学,2012,66.26,41.54,55.7
中国政法大学,2012,4.17,5.97,1.29
中南财经政法大学,2012,7.34,4.68,6.48
中南大学,2012,16.63,14.62,11.12
中山大学,2012,6.93,9.25,4.83
中央财经大学,2012,6.49,7.84,4.66
中央美术学院,2012,16.14,17.26,9.74
中央戏剧学院,2012,6.08,6.15,4.14
中央音乐学院,2012,5.29,6.44,2.5
重庆大学,2012,4.86,7.36,1.98
高校汇总,2012,991.35,863.65,748.93
