university,year,数据3,数据1,数据1-子项目1,数据1-子项目2,数据1-子项目3,数据1-子项目4,数据1-子项目5,数据2,数据2-子项目a,数据2-子项目b,数据2-子项目c,数据2-子项目d,数据2-子项目e,数据2-子项目f
北京大学,2013,31.57,580.71,35.13,88.91,90.43,252.08,114.17,582.77,171.84,97.85,3.45,8.25,176.7,124.68
北京化工大学,2013,8.01,329.23,98.56,19.99,92.05,75.87,42.76,305.41,23.46,61.03,83.63,9.6,108.37,19.32
北京交通大学,2013,8.33,211.74,24.98,15.59,15.05,111.14,44.98,367.36,130.56,45.27,63.42,9.58,33.11,85.42
北京科技大学,2013,8.28,255.9,7.04,41.51,31.06,126.49,49.8,326.72,45.38,99.24,15.19,42.27,78.82,45.83
北京林业大学,2013,3.33,255.1,11.7,31.49,16.08,110.56,85.26,199.73,29.4,87.87,4.08,50.61,9.96,17.81
北京师范大学,2013,16.45,246.09,30.04,40.33,53.91,70.75,51.06,326.2,131.77,16.03,53.29,16.28,43.14,65.68
北京外国语大学,2013,1.76,340.76,59.62,57.97,66.64,84.69,71.85,282.39,107.78,12.24,71.47,17.24,64.08,9.58
北京邮电大学,2013,5.87,308.08,81.3,48.04,40.99,80.24,57.51,455.73,103.69,86.25,71.93,66.68,48.94,78.24
北京语言大学,2013,5.31,244.62,36.65,67.87,1.24,105.54,33.31,227.25,18.92,54.69,55.55,24.93,68.66,4.5
北京中医药大学,2013,6.3,265.59,80.54,89.28,28.22,23.96,43.59,434.28,95.39,33.67,43.97,70.38,106.45,84.43
大连理工大学,2013,2.69,386.64,58.05,58.97,59.71,98.62,111.29,370.03,161.02,49.04,81.5,15.54,60.72,2.21
电子科技大学,2013,13.5,292.67,39.42,17.57,7.2,155.23,73.25,451.71,123.35,93.71,24.43,25.96,99.3,84.96
东北大学,2013,3.27,217.74,32.26,17.06,12.56,76.15,79.7,380.16,35.27,65.88,95.44,9.5,90.53,83.55
东北林业大学,2013,0.37,374.13,56.8,97.45,72.97,85.45,61.46,318.15,67.78,71.05,30.38,1.26,72.9,74.77
东北师范大学,2013,7.47,410.65,97.41,32.16,78.87,121.55,80.66,370.06,56.94,32.26,64.65,93.09,72.36,50.76
东华大学,2013,6.41,285.46,29.04,46.21,37.92,126.33,45.95,265.13,81,28.96,11.7,23.56,56.27,63.63
东南大学,2013,11.84,313.45,64.36,39.14,25.94,122.99,61.02,325.72,113.05,82.73,6.43,25.95,84,13.55
对外经济贸易大学,2013,10.48,313.65,76.96,56.69,72.12,38.65,69.22,317.33,33.33,29.02,74.35,97.14,59.92,23.57
复旦大学,2013,12.79,413.57,41.32,74.22,31.12,178.03,88.87,449.6,162.37,32.79,66.84,39.19,111.82,36.59
合肥工业大学,2013,7.03,347.43,68.03,59.16,79.61,50.37,90.26,324.25,25.8,88.85,33.42,57.77,44.8,73.61
河海大学,2013,6.68,282.03,60.97,31.08,21.02,108.13,60.84,417.4,83.62,89.21,21.18,28.85,98.82,95.71
湖南大学,2013,2.34,297.44,33.63,29.56,73.34,77.66,83.24,342.23,89.22,92.86,2.93,60.03,60.8,36.4
华北电力大学,2013,0.09,235.14,26.91,9.88,65.18,46.23,86.94,371.37,35.24,40.38,56.11,71.92,101.06,66.66
华北电力大学(保定),2013,0.15,185.86,9.85,36.98,17.55,25.21,96.27,320.58,75.03,27.6,32,69.13,48.5,68.32
华东理工大学,2013,6.69,246.56,31.86,31.07,7.66,122.83,53.13,268.69,48.63,62.36,27.65,14.75,87.21,28.09
华东师范大学,2013,14.43,385.4,69.32,73.39,22.05,150.54,70.09,364.72,100.93,41.14,53.33,65.8,26.69,76.82
华南理工大学,2013,14.43,412.67,60.74,114.21,42.57,128.31,66.84,271.42,109.66,16.44,16.61,21.97,39.27,67.48
华中科技大学,2013,24.73,282.28,7.94,85.81,54.57,101.09,32.87,341.04,87.29,27.09,47.03,82.24,77.93,19.47
华中农业大学,2013,10.13,201.65,26.28,94.3,37.48,35.76,7.83,478.32,115.41,87.41,33.72,72.26,115.34,54.19
华中师范大学,2013,9.99,177.81,28.76,61.89,21.22,56.05,9.89,328.96,106.21,27.5,17.47,4.92,86.13,86.73
吉林大学,2013,0.52,373.54,65.9,85.43,73.26,97.5,51.46,416.39,83.51,28.83,98.28,61.73,128.84,15.21
江南大学,2013,7.47,169.49,52.17,54.49,14.93,40.51,7.39,434.57,119.3,44.04,71.87,91.94,74.63,32.79
兰州大学,2013,6.77,218.16,5.6,53.73,79.76,69.84,9.24,303.24,86.28,99.92,8.05,22.82,71.83,14.35
南京大学,2013,3.33,436.71,94.03,102.08,31.14,177.95,31.5,386.33,132.65,61.77,16.96,28.28,114.34,32.33
南京农业大学,2013,2.27,194.9,47.96,50.2,21.44,66.83,8.46,364.36,54.97,71.95,37.88,82.81,42.26,74.48
南开大学,2013,2.02,309.3,80.43,65.01,95.17,55.73,12.96,501.6,48.31,103.61,94.53,87.32,71.04,96.78
清华大学,2013,85.1,719.84,123.3,156.2,58.02,278.23,104.09,742.03,234.9,90.92,30.64,51.95,252.79,80.82
厦门大学,2013,35.88,439.54,100.47,118.48,61.83,90.66,68.1,375.08,110.69,79.78,5.87,30.92,77.61,70.2
山东大学,2013,0,440.18,89.5,34.1,98.39,147,71.19,477.43,132.36,52.08,35.31,80.75,112.23,64.71
陕西师范大学,2013,7.52,229.39,7.34,37.96,37.83,118.28,27.97,352.93,30.96,54.62,43.12,91.84,66.12,66.25
上海财经大学,2013,6.43,340,15.91,70.6,84.67,69.75,99.07,279.97,111.07,66.05,12.53,27.54,29.17,33.61
上海交通大学,2013,71.08,334.76,19.88,116.1,1.41,148.84,48.53,628.55,142.08,63.02,85.19,96.39,201.27,40.61
上海外国语大学,2013,4.12,269.83,85.48,15.13,52.67,100.49,16.07,415.38,114.57,72.98,54.54,84.74,51.12,37.43
四川大学,2013,3.3,289.62,19.08,102.89,27.59,100.03,40.04,486.1,142.01,15.85,67.99,61.74,164.84,33.69
天津大学,2013,19.11,397.4,43.49,117.99,24.18,128.16,83.58,383.2,55.51,53.68,35.08,52.95,122.76,63.23
同济大学,2013,27.81,352.2,5.16,59.44,75.25,151.33,61.03,434.98,122.01,104.47,97.4,6.41,75.07,29.61
武汉大学,2013,12.2,430.47,75.19,105.07,58.44,146.1,45.67,357.4,129.41,28.61,88.25,17.83,77.87,15.43
武汉理工大学,2013,0.08,237.75,16.98,91.83,34.95,83.23,10.76,335.06,88.26,93.51,0.37,64.43,53.38,35.11
西安电子科技大学,2013,0,345.29,69.85,26.33,11.82,143.29,94.01,326.49,89.39,55.72,18.34,88.77,38.38,35.89
西安交通大学,2013,11.35,261.05,7.88,38.12,46.89,111.39,56.77,457.22,123.17,84.56,38.27,52.57,110.86,47.79
西北农林科技大学,2013,5.2,246.2,23.29,43.48,17.1,90.64,71.69,323.52,70.21,68.4,0.45,52.23,74.58,57.66
西南财经大学,2013,2.11,261.36,98.07,48.93,51.42,31.45,31.48,306.98,97.81,20.35,38.23,39.18,62.83,48.59
西南大学,2013,6.64,270.02,94.68,35.47,4.68,91.81,43.37,299.55,87.62,26.46,51.29,8.38,57.07,68.72
西南交通大学,2013,9.02,280.41,47.86,58.72,73.68,80.96,19.19,402.67,133.47,109.48,8.08,87.48,38.07,26.08
长安大学,2013,0.65,263.31,2.06,74.7,54.38,98.24,33.93,390.61,80,39.55,71.74,26.68,91.7,80.95
浙江大学,2013,58.6,374.96,46.65,106.74,9.82,122.66,89.09,629.07,152.84,47.8,99.23,58.92,247.9,22.37
中国传媒大学,2013,0.03,249.04,67.1,62.65,57.08,46.13,16.07,283.9,74.78,83.32,25.16,10.66,8.42,81.57
中国地质大学(北京),2013,4.25,209.87,39.71,7.78,92.94,37.76,31.67,332.45,76.9,20.12,74.08,5.89,110.93,44.53
中国地质大学(武汉),2013,6.17,298.08,14.96,88.96,41.45,64.98,87.72,406.28,117.44,72.23,4.45,83.71,66.87,61.58
中国海洋大学,2013,10.57,409.55,33.67,81.37,66.68,134.42,93.41,429.77,58.87,104.86,12.51,79,95.52,79
中国矿业大学(北京),2013,1.69,239.92,55.14,11.79,27.41,102.45,43.12,307.92,23.08,85.29,60.26,31.84,32.35,75.09
中国矿业大学(徐州),2013,9.12,356.24,97.85,44.82,48.41,89.71,75.46,403.16,96.63,48.09,65.41,45.76,81.44,65.82
中国农业大学,2013,4.13,150.77,9.75,33.09,26.24,53.33,28.37,269.69,71.85,14.87,61.73,59.94,29.07,32.24
中国人民大学,2013,32.53,320.42,21.98,64.64,63.55,81.42,88.83,328.85,61.62,88.48,20.71,16.95,75.66,65.43
中国石油大学(北京),2013,7.58,302.22,35.82,91.9,69.44,25.22,79.85,441.77,102.74,94.59,41.83,63.56,84.64,54.41
中国石油大学(华东),2013,0,440.51,93.4,92.6,97.95,124.95,31.6,407.16,105.87,74.32,6.6,22.1,109.02,89.25
中国药科大学,2013,5.47,361.36,77.75,32.91,99.43,83.31,67.96,380.61,86.65,71.02,84.88,44.37,38.35,55.35
中国政法大学,2013,3.96,250.89,70.32,24.87,45.38,103.92,6.39,415.97,79.21,29.38,93.91,74.53,67.9,71.03
中南财经政法大学,2013,8.88,397.8,66.17,53.19,93.85,90.33,94.26,303.34,27.15,63.88,2.05,28.72,86.06,95.48
中南大学,2013,4.77,267.85,11.74,66.36,65.35,96.4,27.99,279.31,114.82,22.53,33.83,59.63,44.06,4.44
中山大学,2013,63.93,396.14,54.82,110.92,77.44,115.99,36.96,527.21,113.38,90.43,16.19,75.94,185.12,46.15
中央财经大学,2013,0.31,341.85,92.51,28.74,65.87,104.74,50,374.05,53.26,66.01,97.64,48.38,42.38,66.38
中央美术学院,2013,3.44,169.18,50.83,49.21,4.26,30.97,33.92,285.77,97.96,97.06,2.14,58.68,22.5,7.43
中央戏剧学院,2013,1,209.81,5.95,47.39,20.24,78.11,58.13,291.21,6.03,67.56,73.04,36.64,95.27,12.68
中央音乐学院,2013,0.89,335.45,16.73,86.11,42.47,102.19,87.96,409.25,35.42,76.32,98.15,41.07,73.84,84.44
重庆大学,2013,15.95,301,3.16,25.72,52.03,127.31,92.78,412.26,133.81,7.03,26.79,65.53,92.88,86.21
高校汇总,2013,833.97,23593.67,3643.04,4542.03,3634.54,7481.05,4293.01,28685.34,6880.13,4595.84,3373.99,3606.2,6183.42,4045.75
